Summary,Humidity,Loud Cover,Precip Type
Partly Cloudy,0.15,0.0,rain
Partly Cloudy,0.18,0.0,rain
Partly Cloudy,0.15,0.0,rain
Partly Cloudy,0.14,0.0,rain
Partly Cloudy,0.21,0.0,rain
Partly Cloudy,0.18,0.0,rain
Partly Cloudy,0.21,0.0,rain
Partly Cloudy,0.15,0.0,rain
Partly Cloudy,0.18,0.0,rain
Partly Cloudy,0.14,0.0,rain
Partly Cloudy,0.18,0.0,rain
Partly Cloudy,0.17,0.0,rain
Partly Cloudy,0.19,0.0,rain
Partly Cloudy,0.17,0.0,rain
Partly Cloudy,0.21,0.0,rain
Partly Cloudy,0.16,0.0,rain
Partly Cloudy,0.18,0.0,rain
Partly Cloudy,0.19,0.0,rain
Breezy and Partly Cloudy,0.17,0.0,rain
Partly Cloudy,0.19,0.0,rain
Partly Cloudy,0.19,0.0,rain
Partly Cloudy,0.27,0.0,rain
Partly Cloudy,0.22,0.0,rain
Partly Cloudy,0.24,0.0,rain
Partly Cloudy,0.26,0.0,rain
Dry and Partly Cloudy,0.16,0.0,rain
Partly Cloudy,0.2,0.0,rain
Partly Cloudy,0.23,0.0,rain
Partly Cloudy,0.24,0.0,rain
Partly Cloudy,0.23,0.0,rain
Breezy and Partly Cloudy,0.22,0.0,rain
Partly Cloudy,0.2,0.0,rain
Partly Cloudy,0.2,0.0,rain
Partly Cloudy,0.17,0.0,rain
Dry and Partly Cloudy,0.16,0.0,rain
Partly Cloudy,0.17,0.0,rain
Partly Cloudy,0.18,0.0,rain
Partly Cloudy,0.2,0.0,rain
Partly Cloudy,0.18,0.0,rain
Partly Cloudy,0.2,0.0,rain
Partly Cloudy,0.19,0.0,rain
Partly Cloudy,0.2,0.0,rain
Breezy and Partly Cloudy,0.24,0.0,rain
Partly Cloudy,0.25,0.0,rain
Partly Cloudy,0.2,0.0,rain
Partly Cloudy,0.23,0.0,rain
Partly Cloudy,0.22,0.0,rain
Partly Cloudy,0.21,0.0,rain
Dry and Partly Cloudy,0.19,0.0,rain
Partly Cloudy,0.25,0.0,rain
Partly Cloudy,0.23,0.0,rain
Partly Cloudy,0.29,0.0,rain
Partly Cloudy,0.23,0.0,rain
Partly Cloudy,0.23,0.0,rain
Partly Cloudy,0.29,0.0,rain
Partly Cloudy,0.19,0.0,rain
Dry and Partly Cloudy,0.17,0.0,rain
Partly Cloudy,0.27,0.0,rain
Partly Cloudy,0.2,0.0,rain
Partly Cloudy,0.21,0.0,rain
Partly Cloudy,0.23,0.0,rain
Partly Cloudy,0.24,0.0,rain
Mostly Cloudy,0.19,0.0,rain
Partly Cloudy,0.23,0.0,rain
Partly Cloudy,0.25,0.0,rain
Dry and Partly Cloudy,0.19,0.0,rain
Partly Cloudy,0.23,0.0,rain
Partly Cloudy,0.24,0.0,rain
Partly Cloudy,0.27,0.0,rain
Partly Cloudy,0.27,0.0,rain
Partly Cloudy,0.19,0.0,rain
Partly Cloudy,0.25,0.0,rain
Partly Cloudy,0.21,0.0,rain
Partly Cloudy,0.19,0.0,rain
Partly Cloudy,0.26,0.0,rain
Partly Cloudy,0.31,0.0,rain
Partly Cloudy,0.24,0.0,rain
Partly Cloudy,0.29,0.0,rain
Partly Cloudy,0.2,0.0,rain
Partly Cloudy,0.23,0.0,rain
Partly Cloudy,0.27,0.0,rain
Partly Cloudy,0.18,0.0,rain
Partly Cloudy,0.26,0.0,rain
Partly Cloudy,0.26,0.0,rain
Partly Cloudy,0.29,0.0,rain
Partly Cloudy,0.19,0.0,rain
Partly Cloudy,0.22,0.0,rain
Partly Cloudy,0.2,0.0,rain
Partly Cloudy,0.2,0.0,rain
Partly Cloudy,0.31,0.0,rain
Partly Cloudy,0.27,0.0,rain
Partly Cloudy,0.23,0.0,rain
Partly Cloudy,0.31,0.0,rain
Partly Cloudy,0.33,0.0,rain
Partly Cloudy,0.32,0.0,rain
Partly Cloudy,0.27,0.0,rain
Partly Cloudy,0.3,0.0,rain
Partly Cloudy,0.24,0.0,rain
Partly Cloudy,0.31,0.0,rain
Partly Cloudy,0.19,0.0,rain
